Indicator,Partner Name,Reporter Name,Trade Flow,Year,Export Partner Share
Export Partner Share (%),Bahrain,Australia,Export,2000,0.0755
Export Partner Share (%),Qatar,Australia,Export,2000,0.0729
Export Partner Share (%),Czech Republic,Australia,Export,2000,0.0672
Export Partner Share (%),Romania,Australia,Export,2000,0.0538
Export Partner Share (%),Ghana,Australia,Export,2000,0.0517
Export Partner Share (%),Solomon Islands,Australia,Export,2000,0.0517
Export Partner Share (%),Austria,Australia,Export,2000,0.0486
Export Partner Share (%),Lebanon,Australia,Export,2000,0.0479
Export Partner Share (%),Vanuatu,Australia,Export,2000,0.0479
Export Partner Share (%),Samoa,Australia,Export,2000,0.047
Export Partner Share (%),Algeria,Australia,Export,2000,0.0406
Export Partner Share (%),Peru,Australia,Export,2000,0.0405
Export Partner Share (%),Brunei,Australia,Export,2000,0.0383
Export Partner Share (%),Jamaica,Australia,Export,2000,0.0356
Export Partner Share (%),Ukraine,Australia,Export,2000,0.0337
Export Partner Share (%),Trinidad and Tobago,Australia,Export,2000,0.0326
Export Partner Share (%),Portugal,Australia,Export,2000,0.0311
Export Partner Share (%),Libya,Australia,Export,2000,0.0306
Export Partner Share (%),Kiribati,Australia,Export,2000,0.0275
Export Partner Share (%),Morocco,Australia,Export,2000,0.0263
Export Partner Share (%),East Timor,Australia,Export,2000,0.0258
Export Partner Share (%),Nauru,Australia,Export,2000,0.0231
Export Partner Share (%),Namibia,Australia,Export,2000,0.0205
Export Partner Share (%),Myanmar,Australia,Export,2000,0.0198
Export Partner Share (%),Macao,Australia,Export,2000,0.0195
Export Partner Share (%),Panama,Australia,Export,2000,0.0179
Export Partner Share (%),Guam,Australia,Export,2000,0.0173
Export Partner Share (%),Norfolk Island,Australia,Export,2000,0.017
Export Partner Share (%),Syrian Arab Republic,Australia,Export,2000,0.017
Export Partner Share (%),Poland,Australia,Export,2000,0.0168
Export Partner Share (%),Nigeria,Australia,Export,2000,0.0167
Export Partner Share (%),Dominican Republic,Australia,Export,2000,0.0165
Export Partner Share (%),Christmas Island,Australia,Export,2000,0.0158
Export Partner Share (%),"Micronesia, Fed. Sts.",Australia,Export,2000,0.0148
Export Partner Share (%),Tonga,Australia,Export,2000,0.0138
Export Partner Share (%),Uruguay,Australia,Export,2000,0.0126
Export Partner Share (%),Cyprus,Australia,Export,2000,0.0122
Export Partner Share (%),Colombia,Australia,Export,2000,0.0121
Export Partner Share (%),El Salvador,Australia,Export,2000,0.0113
Export Partner Share (%),Malta,Australia,Export,2000,0.0113
Export Partner Share (%),Cambodia,Australia,Export,2000,0.01
Export Partner Share (%),Ethiopia(excludes Eritrea),Australia,Export,2000,0.0098
Export Partner Share (%),Venezuela,Australia,Export,2000,0.0095
Export Partner Share (%),Guatemala,Australia,Export,2000,0.0087
Export Partner Share (%),Hungary,Australia,Export,2000,0.0087
Export Partner Share (%),Cocos (Keeling) Islands,Australia,Export,2000,0.0073
Export Partner Share (%),Maldives,Australia,Export,2000,0.0073
Export Partner Share (%),Madagascar,Australia,Export,2000,0.0068
Export Partner Share (%),Wallis and Futura Isl.,Australia,Export,2000,0.0068
Export Partner Share (%),Latvia,Australia,Export,2000,0.0067
Export Partner Share (%),Fr. So. Ant. Tr,Australia,Export,2000,0.0066
Export Partner Share (%),Nepal,Australia,Export,2000,0.0066
Export Partner Share (%),Zimbabwe,Australia,Export,2000,0.0066
Export Partner Share (%),Barbados,Australia,Export,2000,0.0065
Export Partner Share (%),Lao PDR,Australia,Export,2000,0.0062
Export Partner Share (%),Tunisia,Australia,Export,2000,0.006
Export Partner Share (%),"Bahamas, The",Australia,Export,2000,0.0059
Export Partner Share (%),Slovenia,Australia,Export,2000,0.0059
Export Partner Share (%),Slovak Republic,Australia,Export,2000,0.0058
Export Partner Share (%),Cook Islands,Australia,Export,2000,0.0055
Export Partner Share (%),Costa Rica,Australia,Export,2000,0.0052
Export Partner Share (%),Bosnia and Herzegovina,Australia,Export,2000,0.0049
Export Partner Share (%),Ecuador,Australia,Export,2000,0.0048
Export Partner Share (%),Tuvalu,Australia,Export,2000,0.0047
Export Partner Share (%),Marshall Islands,Australia,Export,2000,0.0046
Export Partner Share (%),Comoros,Australia,Export,2000,0.0045
Export Partner Share (%),Kazakhstan,Australia,Export,2000,0.0043
Export Partner Share (%),"Korea, Dem. Rep.",Australia,Export,2000,0.0043
Export Partner Share (%),Guyana,Australia,Export,2000,0.0039
Export Partner Share (%),Senegal,Australia,Export,2000,0.0039
Export Partner Share (%),Seychelles,Australia,Export,2000,0.0039
Export Partner Share (%),Netherlands Antilles,Australia,Export,2000,0.0036
Export Partner Share (%),Croatia,Australia,Export,2000,0.0035
Export Partner Share (%),Honduras,Australia,Export,2000,0.0034
Export Partner Share (%),Malawi,Australia,Export,2000,0.0034
Export Partner Share (%),Mali,Australia,Export,2000,0.0031
Export Partner Share (%),Georgia,Australia,Export,2000,0.0029
Export Partner Share (%),Guinea,Australia,Export,2000,0.0029
Export Partner Share (%),Bulgaria,Australia,Export,2000,0.0028
Export Partner Share (%),St. Vincent and the Grenadines,Australia,Export,2000,0.0027
Export Partner Share (%),United States Minor Outlying I,Australia,Export,2000,0.0027
Export Partner Share (%),Bermuda,Australia,Export,2000,0.0026
Export Partner Share (%),Suriname,Australia,Export,2000,0.0025
Export Partner Share (%),Cote d'Ivoire,Australia,Export,2000,0.0023
Export Partner Share (%),Uganda,Australia,Export,2000,0.0023
Export Partner Share (%),Zambia,Australia,Export,2000,0.0023
Export Partner Share (%),Angola,Australia,Export,2000,0.0022
Export Partner Share (%),Grenada,Australia,Export,2000,0.0022
Export Partner Share (%),Northern Mariana Islands,Australia,Export,2000,0.0022
Export Partner Share (%),Iceland,Australia,Export,2000,0.0021
Export Partner Share (%),"Serbia, FR(Serbia/Montenegro)",Australia,Export,2000,0.0021
Export Partner Share (%),St. Lucia,Australia,Export,2000,0.0021
Export Partner Share (%),British Indian Ocean Ter.,Australia,Export,2000,0.0019
Export Partner Share (%),Cuba,Australia,Export,2000,0.0019
Export Partner Share (%),Eritrea,Australia,Export,2000,0.0018
Export Partner Share (%),Mongolia,Australia,Export,2000,0.0018
Export Partner Share (%),Botswana,Australia,Export,2000,0.0017
Export Partner Share (%),North Macedonia,Australia,Export,2000,0.0017
Export Partner Share (%),Djibouti,Australia,Export,2000,0.0015
Export Partner Share (%),Azerbaijan,Australia,Export,2000,0.0013
Export Partner Share (%),Gabon,Australia,Export,2000,0.0013
Export Partner Share (%),Palau,Australia,Export,2000,0.0012
Export Partner Share (%),"Gambia, The",Australia,Export,2000,0.0011
Export Partner Share (%),Occ.Pal.Terr,Australia,Export,2000,0.0011
Export Partner Share (%),Mauritania,Australia,Export,2000,0.0009
Export Partner Share (%),Niger,Australia,Export,2000,0.0009
Export Partner Share (%),Antigua and Barbuda,Australia,Export,2000,0.0008
Export Partner Share (%),"Congo, Dem. Rep.",Australia,Export,2000,0.0008
Export Partner Share (%),Bolivia,Australia,Export,2000,0.0007
Export Partner Share (%),Gibraltar,Australia,Export,2000,0.0007
Export Partner Share (%),Armenia,Australia,Export,2000,0.0006
Export Partner Share (%),Nicaragua,Australia,Export,2000,0.0006
Export Partner Share (%),Albania,Australia,Export,2000,0.0005
Export Partner Share (%),Kyrgyz Republic,Australia,Export,2000,0.0005
Export Partner Share (%),Lithuania,Australia,Export,2000,0.0005
Export Partner Share (%),Western Sahara,Australia,Export,2000,0.0005
Export Partner Share (%),Central African Republic,Australia,Export,2000,0.0004
Export Partner Share (%),"Congo, Rep.",Australia,Export,2000,0.0004
Export Partner Share (%),Estonia,Australia,Export,2000,0.0004
Export Partner Share (%),Eswatini,Australia,Export,2000,0.0004
Export Partner Share (%),Benin,Australia,Export,2000,0.0003
Export Partner Share (%),Cameroon,Australia,Export,2000,0.0003
Export Partner Share (%),Tajikistan,Australia,Export,2000,0.0003
Export Partner Share (%),Uzbekistan,Australia,Export,2000,0.0003
Export Partner Share (%),Belarus,Australia,Export,2000,0.0002
Export Partner Share (%),British Virgin Islands,Australia,Export,2000,0.0002
Export Partner Share (%),Dominica,Australia,Export,2000,0.0002
Export Partner Share (%),Falkland Island,Australia,Export,2000,0.0002
Export Partner Share (%),Liberia,Australia,Export,2000,0.0002
Export Partner Share (%),Paraguay,Australia,Export,2000,0.0002
Export Partner Share (%),Rwanda,Australia,Export,2000,0.0002
Export Partner Share (%),Saint Helena,Australia,Export,2000,0.0002
Export Partner Share (%),Saint Pierre and Miquelon,Australia,Export,2000,0.0002
Export Partner Share (%),Sierra Leone,Australia,Export,2000,0.0002
Export Partner Share (%),St. Kitts and Nevis,Australia,Export,2000,0.0002
Export Partner Share (%),Turkmenistan,Australia,Export,2000,0.0002
Export Partner Share (%),Afghanistan,Australia,Export,2000,0.0001
Export Partner Share (%),Anguila,Australia,Export,2000,0.0001
Export Partner Share (%),Belize,Australia,Export,2000,0.0001
Export Partner Share (%),Burkina Faso,Australia,Export,2000,0.0001
Export Partner Share (%),Burundi,Australia,Export,2000,0.0001
Export Partner Share (%),Cape Verde,Australia,Export,2000,0.0001
Export Partner Share (%),Cayman Islands,Australia,Export,2000,0.0001
Export Partner Share (%),Chad,Australia,Export,2000,0.0001
Export Partner Share (%),Haiti,Australia,Export,2000,0.0001
Export Partner Share (%),Lesotho,Australia,Export,2000,0.0001
Export Partner Share (%),Niue,Australia,Export,2000,0.0001
Export Partner Share (%),Somalia,Australia,Export,2000,0.0001
Export Partner Share (%),Togo,Australia,Export,2000,0.0001
Export Partner Share (%),Bhutan,Australia,Export,2000,0
Export Partner Share (%),Equatorial Guinea,Australia,Export,2000,0
Export Partner Share (%),Guinea-Bissau,Australia,Export,2000,0
Export Partner Share (%),Moldova,Australia,Export,2000,0
Export Partner Share (%),Pitcairn,Australia,Export,2000,0
Export Partner Share (%),Sao Tome and Principe,Australia,Export,2000,0
Export Partner Share (%),Tokelau,Australia,Export,2000,0
Export Partner Share (%),Turks and Caicos Isl.,Australia,Export,2000,0
Export Partner Share (%),Antarctica,Australia,Export,2000,0
Export Partner Share (%),Cura?ao,Australia,Export,2000,0
Export Partner Share (%),Luxembourg,Australia,Export,2000,0
Export Partner Share (%),Montenegro,Australia,Export,2000,0
Export Partner Share (%),Montserrat,Australia,Export,2000,0
Export Partner Share (%),South Sudan,Australia,Export,2000,0
Export Partner Share (%),Sudan,Australia,Export,2000,0
