Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Chad,Export,Export Partner Share (%),0.0001,0.0007,0.0055,0.0001,0.0009,0.0012,0.0024,0.0002,0.001,0.0002,0.0002,0.0002,0.0003,0.0009,0.0007,0.0004,0.0007,0.0005,0,0
Australia,Chile,Export,Export Partner Share (%),0.1365,0.1122,0.1281,0.1146,0.1308,0.1323,0.1426,0.1188,0.1538,0.1118,0.1208,0.1841,0.1733,0.1347,0.0962,0.1278,0.1796,0.1287,0.0957,0.0854
Australia,China,Export,Export Partner Share (%),5.4487,6.1907,7.0128,8.4254,9.3601,11.6049,12.4521,14.1432,14.5704,21.6955,25.3363,27.3934,29.5955,34.6261,33.8596,32.4894,31.6367,33.1941,34.7052,38.6654
Australia,Christmas Island,Export,Export Partner Share (%),0.0158,0.0137,0.0397,0.0161,0.0179,0.0169,0.0161,0.0152,0.0107,0.0182,0.0233,0.0185,0.0184,0.0189,0.0162,0.0106,0.014,0.0114,0.0107,0.0085
Australia,Cocos (Keeling) Islands,Export,Export Partner Share (%),0.0073,0.0096,0.0064,0.0042,0.0072,0.0045,0.0037,0.0037,0.0034,0.008,0.0051,0.0051,0.0077,0.0026,0.0026,0.0033,0.0036,0.0029,0.0021,0.0023
Australia,Colombia,Export,Export Partner Share (%),0.0121,0.0228,0.0264,0.0739,0.0296,0.0139,0.0194,0.0171,0.0186,0.0291,0.0149,0.0158,0.0115,0.0146,0.0123,0.0123,0.0192,0.0172,0.0155,0.0096
Australia,Comoros,Export,Export Partner Share (%),0.0045,0.0002,0.0002,0.0003,0.0001,,0,0,0,0.0002,0.0001,,0.0001,0,0.0001,0,,,,
Australia,"Congo, Dem. Rep.",Export,Export Partner Share (%),0.0008,0.0007,0.0063,0.0004,0.0005,0.0018,0.0007,0.0041,0.0007,0.0014,0.0005,0.0015,0.0029,0.0077,0.0049,0.0028,0.0012,0.0013,0.0011,0.0009
Australia,"Congo, Rep.",Export,Export Partner Share (%),0.0004,0.0007,0.0018,0.0013,0.0025,0.0005,0.0015,0.0033,0.0008,0.0015,0.0066,0.0022,0.0022,0.0017,0.0008,0.0019,0.0005,0.0004,0.0003,0.0001
Australia,Cook Islands,Export,Export Partner Share (%),0.0055,0.0057,0.0067,0.008,0.0066,0.0053,0.0045,0.0064,0.0058,0.0057,0.0037,0.0028,0.0025,0.0023,0.0028,0.0028,0.0032,0.0029,0.004,0.0029
Australia,Costa Rica,Export,Export Partner Share (%),0.0052,0.006,0.0024,0.0025,0.005,0.0048,0.0092,0.025,0.0131,0.0306,0.0051,0.0054,0.0027,0.0012,0.0012,0.002,0.0042,0.0018,0.002,0.0009
Australia,Cote d'Ivoire,Export,Export Partner Share (%),0.0023,0.0019,0.0034,0.0014,0.0033,0.002,0.0016,0.0081,0.0047,0.007,0.0046,0.0027,0.0048,0.0083,0.0026,0.0066,0.0083,0.0197,0.0229,0.02
Australia,Croatia,Export,Export Partner Share (%),0.0035,0.0045,0.012,0.0126,0.0059,0.003,0.0122,0.0039,0.0035,0.0076,0.017,0.001,0.0005,0.0005,0.0011,0.0014,0.0061,0.0011,0.0008,0.0009
Australia,Cuba,Export,Export Partner Share (%),0.0019,0.0173,0.0189,0.005,0.0026,0.0059,0.0037,0.0083,0.0028,0.0015,0.0048,0.0026,0.0033,0.0011,0.0018,0.0003,0.0006,0.0003,0.0002,0.0002
Australia,Cura?ao,Export,Export Partner Share (%),,,,,,,,,,,,0.0005,0.0004,0.0004,0.0004,0.0004,0.0006,0.0005,0.0003,0.0001
Australia,Cyprus,Export,Export Partner Share (%),0.0122,0.0112,0.011,0.01,0.0096,0.0075,0.0084,0.0091,0.0052,0.0042,0.0039,0.0033,0.0019,0.0011,0.0012,0.0008,0.0016,0.0017,0.0014,0.0023
Australia,Czech Republic,Export,Export Partner Share (%),0.0672,0.0798,0.0643,0.0635,0.0664,0.047,0.0607,0.0541,0.0367,0.0271,0.0359,0.0436,0.0423,0.0428,0.0454,0.0558,0.057,0.0573,0.0543,0.0341
